user0;user1;user2;user3;user4;user5;user6;user7;user8;user9;user10;user11;user12;user13;user14;user15
28.37605365;5.8;0.303285509;0.328134224;0.385940456;0.567071829;0.316334489;0.306725771;0.273157201;0.318989688;0.265090535;0.319260897;0.277004094;0.286358589;0.313308304;0.242802655
28.37605365;5.8;0.270762659;0.363943169;0.415948535;0.619273122;0.327733408;0.242701944;0.279657364;0.294974904;0.294936696;0.293627104;0.260205932;0.303955174;0.250100956;0.259222567
28.37605365;5.8;0.317340334;0.342195042;0.438202312;0.593597371;0.320662634;0.315262433;0.255982793;0.317196981;0.25172448;0.302581888;0.310436857;0.258979207;0.255131382;0.28275313
28.37605365;5.8;0.261577513;0.314119958;0.378675906;0.55133462;0.257613779;0.287346273;0.250395855;0.258988614;0.264363663;0.326617501;0.295169194;0.315819513;0.265512222;0.272572096
28.37605365;5.8;0.29508939;0.366699688;0.335650376;0.640969058;0.282595115;0.290639597;0.253200036;0.253792643;0.291272834;0.317171163;0.257466475;0.246466995;0.309460634;0.254831332
24.82904694;5.8;0.263511505;0.293134197;0.402227421;0.536620333;0.260237238;0.246387827;0.260867979;0.302785596;0.282630235;0.29980572;0.32948644;0.253925428;0.317776479;0.318035135
21.28204024;5.8;0.30464428;0.300240616;0.397684369;0.501237039;0.25500379;0.275812504;0.259189913;0.263867212;0.287636406;0.306018805;0.245691948;0.244054495;0.281799145;0.307385211
17.73503353;5.8;0.287330343;0.286401395;0.377337356;0.604571646;0.31248299;0.306807559;0.293183371;0.250804254;0.284783439;0.312135251;0.282921165;0.240203281;0.261806044;0.299229443
14.18802683;5.8;0.299170541;0.314460583;0.335253808;0.541868387;0.29225549;0.248501298;0.308216626;0.296643155;0.293084107;0.295396399;0.301093976;0.275838079;0.301705795;0.318059346
14.18802683;5.8;0.288808554;0.329611377;0.430041261;0.645086614;0.300542096;0.284408572;0.259501802;0.299430871;0.283428778;0.246652767;0.293085961;0.292075607;0.26983741;0.244988175
14.18802683;5.8;0.302162143;0.365003671;0.425720595;0.487375878;0.276866784;0.301617064;0.302645386;0.259739913;0.309088798;0.285424971;0.302099448;0.26100914;0.326762526;0.288096616
14.18802683;5.8;0.283558243;0.375567382;0.356780149;0.567837222;0.24528478;0.321133457;0.285281758;0.273651539;0.26356265;0.327878254;0.292624711;0.248273519;0.329687057;0.271239332
14.18802683;5.8;0.289094169;0.296885834;0.382396292;0.492832028;0.245313127;0.318930721;0.29364684;0.304235952;0.299050513;0.310172366;0.299647974;0.245681518;0.269869202;0.244013792
14.18802683;5.8;0.329990707;0.349165995;0.430820802;0.537040871;0.278765778;0.286325814;0.257494439;0.274131541;0.324168568;0.297220099;0.260817;0.311030553;0.284179825;0.296634736
14.18802683;5.8;0.274338475;0.316821872;0.350007918;0.645116433;0.323996224;0.248452312;0.304779892;0.318332328;0.325455172;0.2873758;0.311653276;0.309372206;0.255632992;0.310678559
14.18802683;5.8;0.298233329;0.333324716;0.360536333;0.484693604;0.271759853;0.278966762;0.314844776;0.243982066;0.286016667;0.245837171;0.310395203;0.273096529;0.267971288;0.306627725
14.18802683;5.8;0.294928853;0.36406861;0.396024958;0.591247658;0.328640217;0.309444483;0.307369915;0.291458635;0.299509372;0.258082859;0.260962461;0.248280696;0.251533525;0.326118468
